Model,Data,Section,Features,Output,Configs,Fingerprint,n_bits,n_jobs,Patience,Gridsearch,Dummy,n_iter,NR-AR train acc,NR-AR test acc
logreg,data/preprocessed/tox21_morgan_32.csv,LOGREG_TOX21,all,,,morgan,32,-1,2000,True,,30,,
logreg,data/preprocessed/tox21_morgan_32.csv,LOGREG_TOX21,fingerprint,,,morgan,32,-1,2000,True,,30,,
logreg,data/preprocessed/tox21_morgan_32.csv,LOGREG_TOX21,physical,,,morgan,32,-1,2000,True,,30,,
svc,data/preprocessed/tox21_morgan_32.csv,SVC_TOX21,all,,,morgan,32,-1,2000,True,,30,,
svc,data/preprocessed/tox21_morgan_32.csv,SVC_TOX21,fingerprint,,,morgan,32,-1,2000,True,,30,,
svc,data/preprocessed/tox21_morgan_32.csv,SVC_TOX21,physical,,,morgan,32,-1,2000,True,,30,,
xgb,data/preprocessed/tox21_morgan_32.csv,XGB_TOX21,all,,,morgan,32,-1,2000,True,,30,,
xgb,data/preprocessed/tox21_morgan_32.csv,XGB_TOX21,physical,,,morgan,32,-1,2000,True,,30,,
xgb,data/preprocessed/tox21_morgan_32.csv,XGB_TOX21,fingerprint,,,morgan,32,-1,2000,True,,30,,
regression,data/preprocessed/tox21_morgan_32.csv,REGRESSION_TOX21,all,,,morgan,32,-1,2000,True,,30,,
regression,data/preprocessed/tox21_morgan_32.csv,REGRESSION_TOX21,physical,,,morgan,32,-1,2000,True,,30,,
regression,data/preprocessed/tox21_morgan_32.csv,REGRESSION_TOX21,fingerprint,,,morgan,32,-1,2000,True,,30,,
residual,data/preprocessed/tox21_morgan_32.csv,RESIDUAL_TOX21,all,,,morgan,32,-1,2000,True,,30,,
residual,data/preprocessed/tox21_morgan_32.csv,RESIDUAL_TOX21,physical,,,morgan,32,-1,2000,True,,30,,
residual,data/preprocessed/tox21_morgan_32.csv,RESIDUAL_TOX21,fingerprint,,,morgan,32,-1,2000,True,,30,,
knn,data/preprocessed/tox21_morgan_32.csv,KNN_TOX21,all,,,morgan,32,-1,2000,True,,30,,
knn,data/preprocessed/tox21_morgan_32.csv,KNN_TOX21,physical,,,morgan,32,-1,2000,True,,30,,
knn,data/preprocessed/tox21_morgan_32.csv,KNN_TOX21,fingerprint,,,morgan,32,-1,2000,True,,30,,
logreg,data/preprocessed/tox21_morgan_64.csv,LOGREG_TOX21,all,,,morgan,64,-1,2000,True,,30,,
logreg,data/preprocessed/tox21_morgan_64.csv,LOGREG_TOX21,fingerprint,,,morgan,64,-1,2000,True,,30,,
svc,data/preprocessed/tox21_morgan_64.csv,SVC_TOX21,all,,,morgan,64,-1,2000,True,,30,,
svc,data/preprocessed/tox21_morgan_64.csv,SVC_TOX21,fingerprint,,,morgan,64,-1,2000,True,,30,,
xgb,data/preprocessed/tox21_morgan_64.csv,XGB_TOX21,all,,,morgan,64,-1,2000,True,,30,,
xgb,data/preprocessed/tox21_morgan_64.csv,XGB_TOX21,fingerprint,,,morgan,64,-1,2000,True,,30,,
regression,data/preprocessed/tox21_morgan_64.csv,REGRESSION_TOX21,all,,,morgan,64,-1,2000,True,,30,,
regression,data/preprocessed/tox21_morgan_64.csv,REGRESSION_TOX21,fingerprint,,,morgan,64,-1,2000,True,,30,,
residual,data/preprocessed/tox21_morgan_64.csv,RESIDUAL_TOX21,all,,,morgan,64,-1,2000,True,,30,,
residual,data/preprocessed/tox21_morgan_64.csv,RESIDUAL_TOX21,fingerprint,,,morgan,64,-1,2000,True,,30,,
knn,data/preprocessed/tox21_morgan_64.csv,KNN_TOX21,all,,,morgan,64,-1,2000,True,,30,,
knn,data/preprocessed/tox21_morgan_64.csv,KNN_TOX21,fingerprint,,,morgan,64,-1,2000,True,,30,,
logreg,data/preprocessed/tox21_morgan_256.csv,LOGREG_TOX21,all,,,morgan,256,-1,2000,True,,30,,
logreg,data/preprocessed/tox21_morgan_256.csv,LOGREG_TOX21,fingerprint,,,morgan,256,-1,2000,True,,30,,
svc,data/preprocessed/tox21_morgan_256.csv,SVC_TOX21,all,,,morgan,256,-1,2000,True,,30,,
svc,data/preprocessed/tox21_morgan_256.csv,SVC_TOX21,fingerprint,,,morgan,256,-1,2000,True,,30,,
xgb,data/preprocessed/tox21_morgan_256.csv,XGB_TOX21,all,,,morgan,256,-1,2000,True,,30,,
xgb,data/preprocessed/tox21_morgan_256.csv,XGB_TOX21,fingerprint,,,morgan,256,-1,2000,True,,30,,
regression,data/preprocessed/tox21_morgan_256.csv,REGRESSION_TOX21,all,,,morgan,256,-1,2000,True,,30,,
regression,data/preprocessed/tox21_morgan_256.csv,REGRESSION_TOX21,fingerprint,,,morgan,256,-1,2000,True,,30,,
residual,data/preprocessed/tox21_morgan_256.csv,RESIDUAL_TOX21,all,,,morgan,256,-1,2000,True,,30,,
residual,data/preprocessed/tox21_morgan_256.csv,RESIDUAL_TOX21,fingerprint,,,morgan,256,-1,2000,True,,30,,
knn,data/preprocessed/tox21_morgan_256.csv,KNN_TOX21,all,,,morgan,256,-1,2000,True,,30,,
knn,data/preprocessed/tox21_morgan_256.csv,KNN_TOX21,fingerprint,,,morgan,256,-1,2000,True,,30,,
logreg,data/preprocessed/tox21_morgan_512.csv,LOGREG_TOX21,all,,,morgan,512,-1,2000,True,,30,,
logreg,data/preprocessed/tox21_morgan_512.csv,LOGREG_TOX21,fingerprint,,,morgan,512,-1,2000,True,,30,,
svc,data/preprocessed/tox21_morgan_512.csv,SVC_TOX21,all,,,morgan,512,-1,2000,True,,30,,
svc,data/preprocessed/tox21_morgan_512.csv,SVC_TOX21,fingerprint,,,morgan,512,-1,2000,True,,30,,
xgb,data/preprocessed/tox21_morgan_512.csv,XGB_TOX21,all,,,morgan,512,-1,2000,True,,30,,
xgb,data/preprocessed/tox21_morgan_512.csv,XGB_TOX21,fingerprint,,,morgan,512,-1,2000,True,,30,,
regression,data/preprocessed/tox21_morgan_512.csv,REGRESSION_TOX21,all,,,morgan,512,-1,2000,True,,30,,
regression,data/preprocessed/tox21_morgan_512.csv,REGRESSION_TOX21,fingerprint,,,morgan,512,-1,2000,True,,30,,
residual,data/preprocessed/tox21_morgan_512.csv,RESIDUAL_TOX21,all,,,morgan,512,-1,2000,True,,30,,
residual,data/preprocessed/tox21_morgan_512.csv,RESIDUAL_TOX21,fingerprint,,,morgan,512,-1,2000,True,,30,,
knn,data/preprocessed/tox21_morgan_512.csv,KNN_TOX21,all,,,morgan,512,-1,2000,True,,30,,
knn,data/preprocessed/tox21_morgan_512.csv,KNN_TOX21,fingerprint,,,morgan,512,-1,2000,True,,30,,
logreg,data/preprocessed/tox21_morgan_1024.csv,LOGREG_TOX21,all,,,morgan,1024,-1,2000,True,,30,,
logreg,data/preprocessed/tox21_morgan_1024.csv,LOGREG_TOX21,fingerprint,,,morgan,1024,-1,2000,True,,30,,
svc,data/preprocessed/tox21_morgan_1024.csv,SVC_TOX21,all,,,morgan,1024,-1,2000,True,,30,,
svc,data/preprocessed/tox21_morgan_1024.csv,SVC_TOX21,fingerprint,,,morgan,1024,-1,2000,True,,30,,
xgb,data/preprocessed/tox21_morgan_1024.csv,XGB_TOX21,all,,,morgan,1024,-1,2000,True,,30,,
xgb,data/preprocessed/tox21_morgan_1024.csv,XGB_TOX21,fingerprint,,,morgan,1024,-1,2000,True,,30,,
regression,data/preprocessed/tox21_morgan_1024.csv,REGRESSION_TOX21,all,,,morgan,1024,-1,2000,True,,30,,
regression,data/preprocessed/tox21_morgan_1024.csv,REGRESSION_TOX21,fingerprint,,,morgan,1024,-1,2000,True,,30,,
residual,data/preprocessed/tox21_morgan_1024.csv,RESIDUAL_TOX21,all,,,morgan,1024,-1,2000,True,,30,,
residual,data/preprocessed/tox21_morgan_1024.csv,RESIDUAL_TOX21,fingerprint,,,morgan,1024,-1,2000,True,,30,,
knn,data/preprocessed/tox21_morgan_1024.csv,KNN_TOX21,all,,,morgan,1024,-1,2000,True,,30,,
knn,data/preprocessed/tox21_morgan_1024.csv,KNN_TOX21,fingerprint,,,morgan,1024,-1,2000,True,,30,,
logreg,data/preprocessed/tox21_maccs.csv,LOGREG_TOX21,all,,,maccs,167,-1,2000,True,,30,,
logreg,data/preprocessed/tox21_maccs.csv,LOGREG_TOX21,fingerprint,,,maccs,167,-1,2000,True,,30,,
svc,data/preprocessed/tox21_maccs.csv,SVC_TOX21,all,,,maccs,167,-1,2000,True,,30,,
svc,data/preprocessed/tox21_maccs.csv,SVC_TOX21,fingerprint,,,maccs,167,-1,2000,True,,30,,
xgb,data/preprocessed/tox21_maccs.csv,XGB_TOX21,all,,,maccs,167,-1,2000,True,,30,,
xgb,data/preprocessed/tox21_maccs.csv,XGB_TOX21,fingerprint,,,maccs,167,-1,2000,True,,30,,
regression,data/preprocessed/tox21_maccs.csv,REGRESSION_TOX21,all,,,maccs,167,-1,2000,True,,30,,
regression,data/preprocessed/tox21_maccs.csv,REGRESSION_TOX21,fingerprint,,,maccs,167,-1,2000,True,,30,,
residual,data/preprocessed/tox21_maccs.csv,RESIDUAL_TOX21,all,,,maccs,167,-1,2000,True,,30,,
residual,data/preprocessed/tox21_maccs.csv,RESIDUAL_TOX21,fingerprint,,,maccs,167,-1,2000,True,,30,,
knn,data/preprocessed/tox21_maccs.csv,KNN_TOX21,all,,,maccs,167,-1,2000,True,,30,,
knn,data/preprocessed/tox21_maccs.csv,KNN_TOX21,fingerprint,,,maccs,167,-1,2000,True,,30,,
