Model,n_bits,balanced,error
rf,32,0.53845,0.0
lr,32,0.53025,0.0
knn,32,0.5785,0.0
svc,32,0.53845,0.0
xgb,32,0.75285,0.0
rf,64,0.53845,0.0
lr,64,0.53025,0.0
knn,64,0.5785,0.0
svc,64,0.53845,0.0
xgb,64,0.75285,0.0
rf,256,0.53845,0.0
lr,256,0.53025,0.0
knn,256,0.5785,0.0
svc,256,0.53845,0.0
xgb,256,0.75285,0.0
rf,512,0.53845,0.0
lr,512,0.53025,0.0
knn,512,0.5785,0.0
svc,512,0.5769,0.0
xgb,512,0.71435,0.0
rf,1024,0.5,0.0
lr,1024,0.53845,0.0
svc,1024,0.53025,0.0
xgb,1024,0.71435,0.0
svc,2048,0.5687,0.0
xgb,2048,0.71435,0.0
