Model,n_bits,ROC AUC,error
xgb,32,0.6232,0.0
svc,32,0.7532,0.03489999999999999
rf,32,0.65965,0.012749999999999984
lr,32,0.6551,0.0
knn,32,0.54565,0.006950000000000012
xgb,64,0.69155,0.04995000000000005
svc,64,0.7002,0.0
rf,64,0.67695,0.04504999999999998
lr,64,0.6213,0.0
knn,64,0.5935,0.0
xgb,256,0.62565,0.005049999999999999
svc,256,0.6882,0.0
rf,256,0.7083,0.055800000000000016
lr,256,0.69685,0.005649999999999988
knn,256,0.5586,0.0
xgb,512,0.7577,0.11610000000000004
svc,512,0.7983,0.01539999999999997
rf,512,0.7331,0.03249999999999997
lr,512,0.7585,0.013899999999999968
knn,512,0.59165,0.024050000000000016
xgb,1024,0.8373,0.012400000000000022
svc,1024,0.6848,0.013899999999999968
rf,1024,0.78435,0.014249999999999985
lr,1024,0.7051,0.002599999999999991
knn,1024,0.67955,0.022150000000000003
xgb,2048,0.86405,0.022550000000000014
svc,2048,0.66115,0.014249999999999985
rf,2048,0.7686,0.013500000000000012
lr,2048,0.74305,0.003750000000000031
knn,2048,0.6168,0.0
