Descriptors,n_bits,ROC AUC,ROC AUC val
"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.91084±0.01765,0.89521±0.03180
['rdkit'],32,0.89344±0.02650,0.89600±0.02495
"['rdkit', 'maccs']",32,0.90392±0.01880,0.90105±0.02385
"['rdkit', 'mordred']",32,0.91172±0.01515,0.89760±0.03125
"['rdkit', 'morgan']",32,0.89820±0.02620,0.89793±0.02850
['morgan'],32,0.87300±0.05125,0.87731±0.02370
"['morgan', 'maccs']",32,0.89872±0.03090,0.90074±0.04305
"['morgan','mordred']",32,0.90390±0.02690,0.88599±0.03175
['mordred'],32,0.90747±0.02750,0.89000±0.02875
"['mordred', 'maccs']",32,0.90427±0.02030,0.89399±0.03060
['maccs'],32,0.87850±0.03845,0.87272±0.03400
"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.90758±0.01445,0.89017±0.03575
"['rdkit', 'morgan']",64,0.89952±0.02570,0.89633±0.02710
['morgan'],64,0.87699±0.05050,0.87406±0.04250
"['morgan', 'maccs']",64,0.89660±0.02975,0.89771±0.03140
"['morgan','mordred']",64,0.91085±0.01545,0.89307±0.03045
"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.90782±0.02680,0.89092±0.03830
"['rdkit', 'morgan']",256,0.90684±0.02580,0.89827±0.03405
['morgan'],256,0.90452±0.02805,0.89098±0.04530
"['morgan', 'maccs']",256,0.90830±0.02630,0.90662±0.02470
"['morgan','mordred']",256,0.91415±0.02115,0.89706±0.02955
"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.90999±0.02085,0.89380±0.04375
"['rdkit', 'morgan']",512,0.90087±0.02890,0.89397±0.05215
['morgan'],512,0.90588±0.03915,0.89086±0.05615
"['morgan', 'maccs']",512,0.90672±0.04065,0.90033±0.05695
"['morgan','mordred']",512,0.91069±0.01585,0.89132±0.05475
"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.91518±0.01750,0.89469±0.04070
"['rdkit', 'morgan']",1024,0.91231±0.02485,0.89041±0.04770
['morgan'],1024,0.91589±0.03685,0.87386±0.06380
"['morgan', 'maccs']",1024,0.91645±0.04245,0.89381±0.06035
"['morgan','mordred']",1024,0.91329±0.01700,0.88612±0.05660
"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.91493±0.01870,0.89502±0.05240
"['rdkit', 'morgan']",2048,0.91539±0.03045,0.89012±0.05040
['morgan'],2048,0.91802±0.03410,0.88311±0.05900
"['morgan', 'maccs']",2048,0.92038±0.03485,0.89492±0.05490
"['morgan','mordred']",2048,0.91485±0.03090,0.88597±0.04325
